model_name,method,status,erase_rank,W_win_rate_as_stored,mean_post_stored,utility_cost,n_pairs,baseline_acc,erased_acc,note
llama-3.1-8b-instruct,cure,ok,8,0.587,0.39709867858886716,0.10499999999999998,1000,0.72,0.615,no pre-edit mean stored for these eval pairs; R not computable from this artifact
llama-3.1-8b-instruct,prompt_debias,ok,8,0.0,,0.0,0,,,no pre-edit mean stored for these eval pairs; R not computable from this artifact
llama-3.1-8b-instruct,generic_erase,ok,8,0.48,0.49801518249511717,-0.015000000000000013,1000,0.72,0.735,no pre-edit mean stored for these eval pairs; R not computable from this artifact
llama-3.1-8b-instruct,meandiff_steer,ok,8,0.491,0.4857139587402344,0.0,1000,0.72,0.72,no pre-edit mean stored for these eval pairs; R not computable from this artifact
llama-3.1-8b-instruct,fairsteer,ok,8,0.499,0.4715859375,0.0,1000,0.72,0.72,no pre-edit mean stored for these eval pairs; R not computable from this artifact
llama-3.1-8b-instruct,biasgym,ok,8,0.488,0.5127683563232421,-0.025000000000000022,1000,0.72,0.745,no pre-edit mean stored for these eval pairs; R not computable from this artifact
llama-3.1-8b-instruct,sae_debias,ok,8,0.52,0.47282126235961913,-0.04500000000000004,1000,0.72,0.765,no pre-edit mean stored for these eval pairs; R not computable from this artifact
llama-3.1-8b-instruct,hsal,ok,8,0.477,0.4954070625305176,0.0,1000,0.72,0.72,no pre-edit mean stored for these eval pairs; R not computable from this artifact
llama-3.1-8b-instruct,patchscopes,ok,8,0.822,0.18371559333801268,-0.030000000000000027,1000,0.72,0.75,no pre-edit mean stored for these eval pairs; R not computable from this artifact
llama-3.1-8b-instruct,nofreelunch,ok,8,0.515,0.4785342890024185,0.010000000000000009,1000,0.72,0.71,no pre-edit mean stored for these eval pairs; R not computable from this artifact
qwen2.5-7b-instruct,cure,ok,4,0.559,0.8075167236328125,0.795,1000,0.795,0.0,no pre-edit mean stored for these eval pairs; R not computable from this artifact
qwen2.5-7b-instruct,prompt_debias,ok,4,0.0,,0.0,0,,,no pre-edit mean stored for these eval pairs; R not computable from this artifact
qwen2.5-7b-instruct,generic_erase,ok,4,0.459,0.9880551147460938,0.10882978723404257,1000,0.795,0.6861702127659575,no pre-edit mean stored for these eval pairs; R not computable from this artifact
qwen2.5-7b-instruct,meandiff_steer,ok,4,0.465,1.0490520629882814,0.23218592964824125,1000,0.795,0.5628140703517588,no pre-edit mean stored for these eval pairs; R not computable from this artifact
qwen2.5-7b-instruct,fairsteer,ok,4,0.458,0.992826171875,0.015000000000000013,1000,0.795,0.78,no pre-edit mean stored for these eval pairs; R not computable from this artifact
qwen2.5-7b-instruct,biasgym,ok,4,0.477,1.0360849609375,0.16127906976744188,1000,0.795,0.6337209302325582,no pre-edit mean stored for these eval pairs; R not computable from this artifact
qwen2.5-7b-instruct,sae_debias,ok,4,0.484,0.998077392578125,0.07500000000000007,1000,0.795,0.72,no pre-edit mean stored for these eval pairs; R not computable from this artifact
qwen2.5-7b-instruct,hsal,ok,4,0.468,1.016568359375,0.2504973821989529,1000,0.795,0.5445026178010471,no pre-edit mean stored for these eval pairs; R not computable from this artifact
qwen2.5-7b-instruct,patchscopes,ok,4,0.474,1.012797119140625,0.19173913043478263,1000,0.795,0.6032608695652174,no pre-edit mean stored for these eval pairs; R not computable from this artifact
qwen2.5-7b-instruct,nofreelunch,ok,4,0.451,1.006497802734375,0.050000000000000044,1000,0.795,0.745,no pre-edit mean stored for these eval pairs; R not computable from this artifact
gemma-2-2b-it,cure,ok,1,0.45,0.43706927490234376,0.3111111111111111,1000,0.65,0.3388888888888889,no pre-edit mean stored for these eval pairs; R not computable from this artifact
gemma-2-2b-it,prompt_debias,ok,1,0.0,,0.0,0,,,no pre-edit mean stored for these eval pairs; R not computable from this artifact
gemma-2-2b-it,generic_erase,ok,1,0.421,0.4874749755859375,0.10999999999999999,1000,0.65,0.54,no pre-edit mean stored for these eval pairs; R not computable from this artifact
gemma-2-2b-it,meandiff_steer,ok,1,0.409,0.476494873046875,0.26,1000,0.65,0.39,no pre-edit mean stored for these eval pairs; R not computable from this artifact
gemma-2-2b-it,fairsteer,ok,1,0.399,0.4698258056640625,0.08000000000000007,1000,0.65,0.57,no pre-edit mean stored for these eval pairs; R not computable from this artifact
gemma-2-2b-it,biasgym,ok,1,0.383,0.596309814453125,0.495,1000,0.65,0.155,no pre-edit mean stored for these eval pairs; R not computable from this artifact
gemma-2-2b-it,sae_debias,ok,1,0.379,0.487959716796875,0.040000000000000036,1000,0.65,0.61,no pre-edit mean stored for these eval pairs; R not computable from this artifact
gemma-2-2b-it,hsal,ok,1,0.404,0.47614776611328125,0.255,1000,0.65,0.395,no pre-edit mean stored for these eval pairs; R not computable from this artifact
gemma-2-2b-it,patchscopes,ok,1,0.719,0.276581298828125,0.030000000000000027,1000,0.65,0.62,no pre-edit mean stored for these eval pairs; R not computable from this artifact
gemma-2-2b-it,nofreelunch,ok,1,0.357,0.47974462890625,0.564572864321608,1000,0.65,0.08542713567839195,no pre-edit mean stored for these eval pairs; R not computable from this artifact
phi-4-mini-instruct,cure,ok,1,0.394,0.62665625,0.275,1000,0.84,0.565,no pre-edit mean stored for these eval pairs; R not computable from this artifact
phi-4-mini-instruct,prompt_debias,ok,1,0.0,,0.0,0,,,no pre-edit mean stored for these eval pairs; R not computable from this artifact
phi-4-mini-instruct,generic_erase,ok,1,0.441,0.68790625,0.06105263157894736,1000,0.84,0.7789473684210526,no pre-edit mean stored for these eval pairs; R not computable from this artifact
phi-4-mini-instruct,meandiff_steer,ok,1,0.413,0.674875,0.11225130890052348,1000,0.84,0.7277486910994765,no pre-edit mean stored for these eval pairs; R not computable from this artifact
